Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,56.730000,57.810001,55.919998,57.410000,55.152481,14835200
2020-04-07,58.299999,58.759998,56.740002,56.750000,54.518429,22985400
2020-04-08,57.169998,57.910000,56.529999,57.590000,55.325397,13877400
2020-04-09,57.750000,59.020000,57.610001,58.130001,55.844166,20376000
2020-04-13,57.939999,58.240002,57.139999,57.700001,55.431068,10679500
2020-04-14,58.689999,60.220001,58.459999,60.150002,57.784737,17745300
2020-04-15,59.349998,59.720001,58.759998,59.200001,56.872093,12553400
2020-04-16,59.509998,59.810001,58.750000,59.590000,57.246750,14486100
2020-04-17,60.320000,60.700001,59.509998,60.500000,58.120972,12083100
2020-04-20,59.900002,60.320000,59.259998,59.310001,56.977764,9263900
2020-04-21,58.470001,58.810001,57.840000,58.049999,55.767307,13021900
2020-04-22,58.750000,58.939999,58.139999,58.610001,56.305290,15086800
2020-04-23,58.470001,58.849998,57.990002,58.090000,55.805737,21074200
2020-04-24,58.430000,58.900002,58.230000,58.709999,56.401360,9638300
2020-04-27,59.070000,59.150002,58.650002,58.880001,56.564671,11024000
2020-04-28,59.560001,59.639999,58.959999,59.209999,56.881691,13608800
2020-04-29,59.509998,59.509998,58.400002,58.959999,56.641525,16038500
2020-04-30,58.790001,58.820000,57.919998,58.259998,55.969051,16397100
2020-05-01,57.939999,58.430000,57.380001,57.619999,55.354218,13023600
2020-05-04,57.509998,57.720001,57.020000,57.590000,55.325397,11314200
2020-05-05,57.820000,58.259998,57.570000,57.639999,55.373432,9705200
2020-05-06,57.740002,57.900002,56.959999,57.009998,54.768204,10700100
2020-05-07,57.450001,57.529999,56.730000,56.849998,54.614498,11203600
2020-05-08,57.419998,58.240002,57.389999,58.119999,55.834557,13405000
2020-05-11,57.860001,58.490002,57.799999,58.040001,55.757706,8807200
2020-05-12,58.230000,58.549999,57.549999,57.549999,55.286964,20587300
2020-05-13,57.500000,57.820000,56.689999,57.029999,54.787418,12186800
2020-05-14,56.750000,57.040001,55.990002,56.889999,54.652924,11793500
2020-05-15,56.880001,57.560001,56.680000,57.389999,55.133259,20847900
2020-05-18,58.299999,58.599998,57.880001,58.299999,56.007481,15213600
2020-05-19,58.380001,58.410000,57.230000,57.230000,54.979553,15313100
2020-05-20,57.709999,57.939999,57.360001,57.910000,55.632813,8519600
2020-05-21,57.820000,57.830002,57.150002,57.270000,55.017986,13913900
2020-05-22,57.290001,57.520000,57.160000,57.470001,55.210114,7216300
2020-05-26,58.279999,58.380001,57.669998,57.779999,55.507931,10487200
2020-05-27,58.240002,58.700001,57.910000,58.650002,56.343716,10937800
2020-05-28,59.099998,59.500000,58.849998,59.169998,56.843266,10184300
2020-05-29,58.990002,59.419998,58.459999,59.230000,56.900909,12890900
2020-06-01,59.259998,59.860001,59.230000,59.639999,57.294788,9101400
2020-06-02,59.740002,59.830002,59.340000,59.799999,57.448498,9837900
2020-06-03,60.060001,60.160000,59.860001,59.880001,57.525345,10155300
2020-06-04,59.759998,60.070000,59.270000,59.590000,57.246750,8973800
2020-06-05,60.029999,60.730000,59.860001,60.419998,58.044113,11502200
2020-06-08,60.430000,61.099998,60.220001,61.070000,58.668556,13094200
2020-06-09,60.840000,60.930000,60.200001,60.570000,58.188217,13735400
2020-06-10,60.709999,60.880001,60.279999,60.400002,58.024902,9877800
2020-06-11,59.750000,60.119999,58.040001,58.110001,55.824951,14738500
2020-06-12,58.910000,58.919998,57.619999,58.119999,55.834557,17837500
2020-06-15,57.580002,58.869999,57.189999,58.790001,56.478214,11366700
2020-06-16,59.950001,60.020000,58.939999,59.709999,57.362030,10840300
2020-06-17,59.820000,60.070000,59.439999,59.619999,57.275570,8388400
2020-06-18,59.349998,59.990002,59.270000,59.930000,57.573380,6022600
2020-06-19,60.480000,60.669998,59.529999,59.619999,57.275570,10777200
2020-06-22,59.099998,59.220001,58.779999,58.990002,57.111954,9039600
2020-06-23,59.380001,59.590000,58.840000,58.900002,57.024822,7951000
2020-06-24,58.599998,58.599998,57.700001,57.910000,56.066338,14343200
2020-06-25,57.880001,58.389999,57.520000,58.320000,56.463287,12128900
2020-06-26,58.299999,58.459999,57.080002,57.130001,55.311169,14476500
2020-06-29,57.500000,58.320000,57.450001,58.209999,56.356785,9654200
2020-06-30,58.220001,58.860001,58.130001,58.639999,56.773094,7379800
2020-07-01,58.750000,59.060001,58.660000,58.689999,56.821507,7261600
2020-07-02,59.180000,59.570000,58.869999,58.990002,57.111954,6857200
2020-07-06,59.439999,59.580002,58.950001,59.279999,57.392723,10091300
2020-07-07,58.959999,60.150002,58.919998,59.820000,57.915531,8161000
2020-07-08,59.950001,59.990002,59.419998,59.669998,57.770306,9328000
2020-07-09,59.590000,59.750000,58.860001,59.200001,57.315266,7672500
2020-07-10,59.270000,60.410000,59.259998,60.290001,58.370567,14142800
2020-07-13,60.580002,61.000000,59.970001,60.200001,58.283428,10906200
